शहर,শহর
तांत्रिक,তান্ত্রিক
तप,তাপা
तापी,তাপী
तफ़ता,তাফতা
ताबीज़,তাবিজ
तांबा,তামা
तंबाकू,তামাক
तामिल,তামিল
तारांकित,তারকায়িত
तरंगा,তারঙ্গ
तराना,তারানা
तारिणी,তারিণী
तारपीन,তার্পিন
ताल,তাল
तालव्य,তালব্য
तलाक,তালাক
तालेब,তালেবর
तीतर,তিতির
तिथि,তিথি
तीन,তিন
तिरेपन,তিপ্পান্ন
तिब्बती,তিব্বতি
तिब्बत,তিব্বত
तीर,তির
तिरासी,তিরাশি
तिल,তিল
तिलक,তিলক
तिलका,তিলকা
तिलि,তিলি
तिलोत्तमा,তিলোত্তমা
तीर्थ,তীর্থ
तुरा,তুড়া
टुंडा,তুন্দ
टुंडी,তুন্দি
तूफान,তুফান
तुया,তুয়া
तुर्कान,তুরক
तुर्की,তুরকি
तुर्क,তুর্ক
तुलना,তুলনা
तुलनीय,তুলনীয়
तुलसी,তুলসী
तृप्त,তৃপ্ত
तेजा,তেজা
तेरह,তেরো
तेल,তেল
तेली,তেলি
तेलुगू,তেলেগু
तेलेंगा,তেলেঙ্গা
तीसरा,তেসরা
तैत्रीय,তৈত্তিরীয়
तोरी,তোড়ি
तोते,তোতা
तोपें,তোপ
तुम हो,তোমরা
त्वचा,ত্বক
त्वरण,ত্বরণ
ट्रिपल,ত্রিপল
त्रिपुरारी,ত্রিপুরারি
तीस,ত্রিশ
त्रेता,ত্রেতা
त्रैवार्षिक,ত্রৈবার্ষিক
त्रैमासिक,ত্রৈমাসিক
त्रयमबाका,ত্র্যম্বক
थाईथाई,থইথই
थापा,থপ
थर्मामीटर,থার্মোমিটার
थाली,থালি
थिएटर,থিয়েটার
थूक,থুক
थूया,থোওয়া
दही,দই
दाउ,দউ
दक्षिण,দক্ষিণ
दारा,দড়
दांडी,দণ্ডি
दांत,দন্ত
दंतावेद,দন্তোদ্ভেদ
दफ्तर,দফতর
दफ़ादार,দফাদার
दमकल,দমকল
दमदमा,দমদমা
दमन,দমন
दर,দর
दर्जी,দরজি
दरिद्र,দরিদ্র
दारिया,দরিয়া
दारी,দরী
डालाडाला,দলদল
दस,দশ
दासी,দশি
दशहरा,দশেরা
दस्ताना,দস্তানা
दहल,দহল
दावा,দাওয়া
धन,দাঁও
दाढ़ी,দাঁড়ি
देखो,দেখো
डेंटन,দাঁতন
दंगा,দাঙ্গা
दाता,দাতা
दाद,দাদ
दादरा,দাদরা
दादा,দাদা
दादी,দাদি
दानेदार,দানাদার
दानियों,দানীয়
डाबा,দাব
दार्शनिक,দার্শনিক
दामिनी,দামিনী
दायभाग,দায়ভাগ
डार,দার
दल,দাল
दलाल,দালাল
दास,দাশ
दिगंश,দিগংশ
दिग्विजय,দিগ্বিজয়
दीघा,দিঘ
दीदी,দিদি
दिन,দিন
दीनार,দিনার
दिनेश,দিনেশ
दिसा,দিশ
दीक्षा,দীক্ষা
दीक्षित,দীক্ষিত
दीपक,দীপ
दीवाली,দীপাবলি
दीपावली,দীপালি
दीपिका,দীপিকা
दीर्घायु,দীর্ঘায়ু
दूध,দুধ
दून,দুন
दुनिया,দুনিয়া
दुर्गापूजा,দুর্গাপূজা
दुर्घटना,দুর্ঘটনা
दुर्बलता,দুর্বলতা
दुर्योधन,দুর্যোধন
दुलाल,দুলাল
दुश्मन,দুশমন
दूत,দূত
दीवान,দেওয়ান
देखिए,দেখ
डेडो,দেদো
देवी,দেবী
देवेंद्र,দেবেন্দ্র
दराज़,দেরাজ
देश,দেশ
देशान्तर,দেশান্তর
देहात,দেহাত
देहाती,দেহাতি
दैनिक,দৈনিক
दैवी,দৈব
दिव्य,দৈবী
डोनी,দোনি
दोष,দোষ
दोषी,দোষী
दूसरा,দোসরা
दोहरा,দোহারা
दौरा,দৌ়ড়
द्वापर,দ্বাপর
द्वारकानाथ,দ্বারকানাথ
द्वारा,দ্বারা
द्वीप,দ্বীপ
द्वीपीय,দ্বৈপ
द्विवाषिक,দ্বৈবার্ষিক
द्विमासिक,দ্বৈমাসিক
द्विअक्षीय,দ্ব্যক্ষ
द्रविड़,দ্রাবিড়
द्रोण,দ্রোণ
धड़,ধড়
धनी,ধনি
धनिया,ধনে
धूमकेतु,ধূমকেতু
धमकी,ধমক
धमनी,ধমনী
धरती,ধরিত্রী
धर्म,ধর্ম
धर्मात्मा,ধর্মাত্মা
धैर्य,ধৈর্যের
धन्यवाद,ধন্যবাদ
धक्का,ধাক্কা
धातु,ধাতু
धनईपोनाई,ধানাইপানাই
धान,ধানি
धोखा,ধাপ্পা
धाम,ধাম
धमनीय,ধামনিক
धारक,ধারক
धारा,ধারা
धार्मिक,ধার্মিক
धीरे,ধীর
धुनी,ধুনি
धुरा,ধুরা
धूप,ধূপ
धुआं,ধূম
धर्जाती,ধূর্জটি
धूसर,ধূসর
डोसा,ধোসা
ध्वनि,ধ্বনি
ध्यानी,ধ্যানী
नवरोज़,নওরোজ
नक्शी,নকশি
नाखून,নখ
नागेन्द्र,নগেন্দ্র
नंगा,নগ্ন
निसा,নিসা
निर्धारित,নির্ধারিত
नटराजन,নটরাজ
नतोदर,নতোদর
नाटा,নত্তা
नदी,নদ
नानी,ননি
नंदा,নন্দা
नंदी,নন্দি
नंदिनी,নন্দিনী
नौवां,নবম
नवाब,নবাব
नेविस,নবিশ
नवीकरण,নবীকরণ
नवंबर,নভেম্বর
नोवेल,নভেল
नामा,নমা
नमूना,নমুনা
नानसूक,নয়নসুখ
नई,নয়া
नरक,নরক
नारी,নরি
नरेश,নরেশ
नरोत्तम,নরোত্তম
नर्तकी,নর্তক
नली,নলি
नाशवान,নশ্বর
नाक,নাক
नारंगी,নাগরঙ্গ
नागरा,নাগরা
नगरी,নাগরি
नागरिक,নাগরিক
नागा,নাগা
नागिनी,নাগিনী
नागी,নাগী
नजीर,নাজির
नाटक,নাটক
नृत्य,নাট্য
नाड़ी,নাড়ি
नदियों,নাদ্য
नाविक,নাবিক
नाभि,নাভি
नाम,নাম
नामांकित,নামাঙ্কিত
नायक,নায়ক
नायिका,নায়িকা
नाइक,নায়েক
नारद,নারদ
नारायण,নারায়ণ
नासा,নাশা
नाश्ता,নাস্তা
नास्तिक,নাস্তিক
निमोनिया,নিউমোনিয়া
निकी,নিকি
निगम,নিগম
नीग्रो,নিগার
निघंटु,নিঘন্টু
निज़ाम,নিজাম
नींद,নিদ্রা
निधि,নিধি
निंदा,নিন্দা
निवास,নিবসতি
निवारण,নিবারণ
नीम,নিম
नमकीन,নিমকি
निम्बा,নিম্ব
नियुक्त,নিযুক্ত
नियुक्ति,নিযুক্তি
नियोक्ता,নিযোক্তা
नियंत्रण,নিয়ন্ত্রণ
नियंत्रित,নিয়ন্ত্রিত
नियम,নিয়ম
निरक्षर,নিরক্ষর
निरंजन,নিরঞ্জন
निराकार,নিরাকার
निराश,নিরাশ
निरुक्त,নিরুক্ত
निर्जल,নির্জল
निर्दलीय,নির্দল
निर्धूम,নির্ধূম
निर्वासन,নির্বাসন
निर्मली,নির্মলি
निर्माण,নির্মাণ
निर्मल्या,নির্মাল্য
निर्माता,নির্মাতা
निलंबन,নিলম্বন
निलय,নিলয়
नीलाम,নিলাম
निषाद,নিষাদ
निषिद्ध,নিষিদ্ধ
निषेध,নিষেধ
निकास,নিষ্কাশ
निष्कर्षण,নিষ্কাশন
निष्क्रिय,নিষ্ক্রিয়
निष्पादित,নিষ্পাদিত
निष्प्राण,নিষ্প্রাণ
निहाई,নিহাই
नीचे,নীচে
नीरजा,নীরজা
नीला,নীল
नीलांजना,নীলাঞ্জনা
नीलिमा,নীলিমা
नूरी,নুরি
नृशंस,নৃশংস
नरसिंह,নৃসিংহ
नेता,নেত
नेतृत्व,নেতৃত্ব
नेपाली,নেপালি
नशा,নেশা
नेहा,নেহা
निकटता,নৈকট্য
नैतिक,নৈতিক
नोटिस,নোটিস
नाव,নৌকা
न्यून,ন্যূন
पचासी,পঁচাশি
पच्चीस,পঁচিশ
पकोड़ा,পকোড়া
पक्षाघात,পক্ষাঘাত
पक्षीशाल,পক্ষিশালা
पक्षी,পক্ষী
पगारा,পগার
पंचायत,পঞ্চায়েত
पचास,পঞ্চাশ
पंजाबी,পঞ্জাবি
पॉप,পট্
पटाखा,পটকা
पोटाश,পটাশ
पट्टी,পটি
पढ़ना,পঠন
पड़ोसी,পড়শি
पड़ना,পতন
पति,পতি
पत्र,পত্র
पत्रिका,পত্রিকা
पदक,পদক
पदार्थ,পদার্থ
पदोन्नति,পদোন্নতি
पद्म,পদ্মা
पद्मपुराण,পদ্মাপুরাণ
पद्मावती,পদ্মাবতী
पदमालया,পদ্মালয়া
पद्मिनी,পদ্মিনী
पनीर,পনির
पवित्र,পবিত্র
पैगंबर,পয়গম্বর
पैसा,পয়সা
परिवार,পরিবার
प्रिया,প্রিয়া
प्यूज़ो,পুজো
प्रस्ताव,প্রস্তাব
प्रभाव,প্রভাব
पांच,পাঁচ
परजीवी,পরজীবী
परदा,পরদা
परमाणु,পরমাণু
प्रभावित,প্রভাবিত
पराग,পরাগ
पराजित,পরাজিত
परिचय,পরিচয়
परिणाम,পরিণাম
परित्यक्त,পরিত্যক্ত
परिपत्र,পরিপত্র
परिपाक,পরিপাক
परिप्रेक्ष्य,পরিপ্রেক্ষিত
परिवर्तन,পরিবর্তন
परिरक्षण,পরিরক্ষণ
परिषद,পরিষদ
परिहार,পরিহার
परिहार्य,পরিহার্য
परीक्षक,পরীক্ষক
पोर्न,পর্ণ
पर्यटक,পর্যটক
पहलू,পল
प्लास्टर,পলস্তারা
पलाश,পলাশ
पश्तो,পশতু
पशु,পশু
पश्चिम,পশ্চিম
पाई,পাই
पाइक,পাইক
पाउडर,পাউডার
पौंड,পাউন্ড
पिंट,পাঁইট
पाठक,পাঠিকা
पांडवों,পাণ্ডব
पांडु,পাণ্ডু
पत्ती,পাত
पतला,পাতলা
पतलून,পাতলুন
पाटिल,পাতিল
पॉट,পাত্র
पत्थर,পাথর
पादरी,পাদরি
पादना,পাদান
पानी,পানি
पन्ना,পান্না
पाप,পাপ
पापी,পাপী
पब,পাব
पंप,পাম্প
पाजामा,পায়জামা
पाराना,পারণা
परमिट,পারমিট
पर्सी,পারসি
फारस,পারস্য
पारिभाषिक,পারিভাষিক
पारिश्रमिक,পারিশ্রমিক
पारुल,পারুল
पार्टी,পার্টি
परसेल,পার্সেল
पालकी,পালকি
पलाना,পালঙ
पाली,পালি
पालिका,পালিকা
पोलिश,পালিশ
पालो,পালো
पासा,পাশা
पासी,পাশী
पहाड़ी,পাহাড়
पिकनिक,পিকনিক
पिच,পিচ
पिता,পিতঃ
पीतल,পিতল
पित्त,পিত্ত
पिन,পিন
पिनाक,পিনাক
पिनाल,পিনাল
पिंडारी,পিণ্ডারি
पाइप,পিপে
प्याज़,পিয়াজ
पियानो,পিয়ানো
पिरामिड,পিরামিড
पिशाच,পিশাচ
पीसी,পিসি
पिस्तौल,পিস্তল
पीला,পীত
पिना,পীন
पूंछ,পুচ্ছ
पोचा,পোছা
पोटीन,পুটিং
पुडिंग,পুডিং
पुण्य,পুণ্যাহ
पुरस्कार,পুরস্কার
पुरस्कृत,পুরস্কৃত
पूरे,পুরা
पुराण,পুরাণ
पुरातत्त्व,পুরাতত্ত্ব
पुराना,পুরাতন
पुरी,পুরি
पुरोगामी,পুরোগামী
पुरोहित,পুরোহিত
पूल,পুল
पुलिस,পুলিশ
पुस्तक,পুস্তক
पुस्तिका,পুস্তিকা
पूजा,পূজা
पुआ,পূয
पूरक,পূরক
पूर्ण,পূর্ণ
पूर्णिमा,পূর্ণিমা
पूर्व,পূর্ব
पूसा,পূষা
पृथ्वी,পৃথ্বী
पेट,পেট
पेटेंट,পেটেন্ট
पीटो,পেটো
पेट्रोल,পেট্রল
पेरा,পেড়া
पेंशन,পেনশন
पेंसिल,পেনসিল
पेरू,পেরু
पिस्ता,পেস্তা
पैतृक,পৈতৃক
पैत्तिक,পৈত্তিক
पोम,পোঁ
पोंटा,পোঁতা
पोत,পোত
पोशाक,পোশাক
पोस्टर,পোষ্টা
पोस्ट,পোস্ট
पेली,পেলি
पोस्टकार्ड,পোস্টকার্ড
पोस्टमास्टर,পোস্টমাস্টার
पोस्ता,পোস্ত
पहुंच,পৌঁছ
पैच,প্যাচ
पेडल,প্যাডেল
पैंट,প্যান্ট
पैराशूट,প্যারাশুট
प्रकृति,প্রকৃতি
प्रिय,প্রিয়
प्रक्रिया,প্রক্রিয়া
प्रगति,প্রগতি
प्रजनन,প্রজন
प्रणय,প্রণয়
प्रतिकूल,প্রতিকূল
प्रतिक्रिया,প্রতিক্রিয়া
प्रतिक्षेप,প্রতিক্ষেপণ
प्रतिनिधि,প্রতিনিধি
प्रतिपदा,প্রতিপদ
प्रतिबिंब,প্রতিবিম্ব
परिवेश,প্রতিবেশ
प्रतिभा,প্রতিভা
प्रतिभाशाली,প্রতিভাশালী
प्रतिलिपि,প্রতিলিপি
प्रतीक,প্রতীক
प्रतीक्षा,প্রতীক্ষা
पतित,প্রতীপ
प्रत्येक,প্রত্যেক
प्रदर्शन,প্রদর্শন
प्रदर्शित,প্রদর্শিত
प्रपौत्र,প্রপৌত্র
प्रोफ़ेसर,প্রফেসর
प्रवासी,প্রবাস
प्रमत्त,প্রমত্ত
प्रयास,প্রয়াস
प्रलाप,প্রলাপ
प्रलोभन,প্রলোভ
प्रशंसक,প্রশংসক
प्रशंसा,প্রশংসা
प्रशासक,প্রশাসক
प्रशासन,প্রশাসন
प्रसन्न,প্রসন্ন
प्रसिद्ध,প্রসিদ্ধ
प्रहलाद,প্রহ্লাদ
प्राकृतिक,প্রাকৃতিক
प्रागैतिहासिक,প্রাগৈতিহাসিক
प्राचीन,প্রাচীন
प्राणी,প্রাণী
प्राप्त,প্রাপ্ত
प्रार्थना,প্রার্থনা
प्रासंगिक,প্রাসঙ্গিক
प्रीत,প্রীত
प्रेरणा,প্রেরণা
प्रेस,প্রেস
प्रोटीन,প্রোটিন
प्रोबेट,প্রোবেট
प्लेट,প্লেট
फ़क़ीर,ফকির
फ़ोटो,ফট
फिटकिरी,ফটকিরি
फल,ফল
फाल्गुनी,ফল্গুনী
फास्फोरस,ফসফরাস
फ़सल,ফসল
फ़ाइल,ফাইল
फंदा,ফাঁদ
फ्लॉप,ফাঁপ
फ़ारसी,ফারসি
फिना,ফিঙা
फ़िट,ফিট
फिनाइल,ফিনাইল
फ़िल्टर,ফিলটার
फिल्में,ফিলম
फ़िल्म,ফিল্ম
फोड़ा,ফোঁড়া
फुटोन,ফুটন
फ़ुटपाथ,ফুটপাথ
फ़ुटबॉल,ফুটবল
फूल,ফুল
फूलन,ফুলন
फुसलाना,ফুসলানো
फेनी,ফেনি
फेरारी,ফেরারি
फोकस,ফোকাস
फोटो,ফোটো
फ़ोन,ফোন
फव्वारा,ফোয়ারা
फ़ैशन,ফ্যাশান
फ़राक,ফ্রক
वंश,বংশীয়
बकरा,বকরা
बाकारी,বকরি
बख्शी,বকশি
वक्ता,বক্তা
वक्र,বক্র
बाकरी,বক্রী
बांका,বঙ্ক
बंकिम,বঙ্কিম
बजरा,বজরা
बॉट,বট
बाटा,বটা
बाती,বটী
बातू,বটু
बटेर,বটের
बड़ा,বড়ো
बारू,বড়ু
बोर्डे,বোড়ে
बुरा,বদ
बद्र,বদর
बद्री,বদরী
बुद्धि,বুদ্ধি
बहरा,বধির
वन,বন
वनीकरण,বনীকরণ
बंदी,বন্দিনী
बंदूक,বন্দুক
बंदे,বন্দে
बंद,বন্ধ
बंधक,বন্ধক
वमन,বমন
बायलर,বয়লার
बरजा,বরজ
बरन,বরন
वरिष्ठ,বরিষ্ঠ
वरुण,বরুণ
वर्ग,বর্গ
बरगी,বর্গি
वर्णन,বর্ণন
विवरण,বর্ণনা
वर्तमान,বর্তমান
बार्ना,বর্না
बर्मा,বর্মা
बर्मी,বর্মি
बारिश,বর্ষা
बलाका,বলাক
बलिदान,বলিদান
ब्लॉक,বল্ক
बल्लभ,বল্লভ
बल्ली,বল্লি
वसंत,বসন্ত
बसु,বসু
बस्ती,বস্তী
बहा,বহ
बहिर्मुखी,বহির্মুখ
बहुत,বহু
बहेड़ा,বহেড়া
बाजार,বাজার
बाइबिल,বাইবেল
बाईस,বাইশ
बाऊरी,বাউরি
बाउल,বাউল
बंगाली,বাংলা
बंगला,বাংলো
बाह,বাঃ
बाँझ,বাঁজা
बंदर,বাঁদর
बांध,বাঁধ
बंधे,বাঁধা
बांस,বাঁশ
बक्स,বাকস
बाकी,বাকি
वाक्य,বাক্য
बग,বাগ
बागड़ी,বাগদি
बाघ,বাঘ
वाचस्पति,বাচস্পতি
बच्चा,বাচ্চা
बजाना,বাজানো
बाजू,বাজু
वांछित,বাঞ্ছিত
बटन,বাটন
बादशाह,বাদশা
वादी,বাদী
बन,বান
बाधा,বাধ
वर्तनी,বানান
बापू,বাপু
बबूल,বাবলা
बाबू,বাবু
बामा,বামা
वामावर्त,বামাবর্তী
बार,বার
बारबार,বারংবার
बराक,বারক
बारा,বারা
वर्जित,বারিত
बारह,বারো
वार्निश,বার্নিশ
वार्षिक,বার্ষিক
बाल्टी,বালতি
बल्ब,বাল্ব
बिलाम,বালাম
भाप,বাষ্প
बस,বাস
बसंत,বাসন্ত
बसव,বাসব
बसरा,বাসর
बासी,বাসি
वासुकी,বাসুকি
वासुदेव,বাসুদেব
वाहक,বাহক
वाहन,বাহন
बहत्तर,বাহাত্তর
बहादुर,বাহাদুর
बावन,বাহান্ন
बहार,বাহার
विकलांग,বিকলাঙ্গ
विकल्प,বিকল্প
विकसित,বিকশিত
विकिरण,বিকিরণ
विकृत,বিকৃত
विक्रम,বিক্রম
बिक्री,বিক্রয়
विक्रेता,বিক্রেতা
विक्रेय,বিক্রেয়
बीघा,বিঘা
बेकल,বিচল
बिजन,বিজন
बिजली,বিজলি
विज्ञान,বিজ্ঞান
विज्ञापन,বিজ্ঞাপন
बिट,বিট
बीटा,বিটা
बीरा,বিড়া
बीड़ी,বিড়ি
वितरण,বিতরণ
वितरित,বিতরিত
विदूषक,বিদূষক
विद्वान,বিদ্বান
विद्रोह,বিদ্রোহ
विधवा,বিধবা
विधायक,বিধেয়ক
बिन,বিন
विनाश,বিনষ্টি
बिना,বিনা
विनायक,বিনায়ক
विनिमय,বিনিময়
विनियंत्रित,বিনিয়ন্ত্রিত
विपरीत,বিপরীত
बिपिन,বিপিন
विविध,বিবিধ
बिबियाना,বিবিয়ানা
विवेक,বিবেক
विभाग,বিভাগ
विभाजन,বিভাজন
भाज्य,বিভাজ্য
विभिन्न,বিভিন্ন
विभूति,বিভূতি
बीमा,বিমা
विमान,বিমান
विरल,বিরল
बयासी,বিরাশি
बिरयानी,বিরিয়ানি
विरेचन,বিরেচন
बिल,বিল
विलंब,বিলম্ব
बिल्ली,বিল্লি
बीस,বিশ
विशाखा,বিশাখা
विशिष्ट,বিশিষ্ট
विशुद्ध,বিশুদ্ধ
विशेष,বিশেষ
विशेषज्ञ,বিশেষজ্ঞ
विशेषण,বিশেষণ
विषुव,বিষুব
विष्णु,বিষ্ণু
बिस्मिल्लाह,বিসমিল্লাহ্
विसर्प,বিসর্প
विस्तार,বিস্তার
विस्फोटक,বিস্ফোরক
बेस्वाद,বিস্বাদ
बिहारी,বিহারী
बीज,বীজ
बीजगणित,বীজগণিত
वीणा,বীণা
वीर्य,বীর্য
बुद्धा,বুদ্ধ
बुलबुल,বুলবুল
वृत्त,বৃত্ত
वृद्धि,বৃদ্ধি
बृहस्पति,বৃহস্পতি
वेग,বেগ
बेगम,বেগম
बेंच,বেঞ্চ
बेटा,বেটা
बाड़,বেড়
बेनी,বেণি
वेतन,বেতন
वेदों,বেদ
बेदख़ल,বেদখল
वेदांग,বেদাঙ্গ
वेदांत,বেদান্ত
वेदी,বেদি
बेनजीर,বেনজির
बेरीबेरी,বেরিবেরি
बेलचा,বেলচা
बेल्ट,বেল্ট্
बेशर्म,বেশরম
वेश्या,বেশ্যা
बेहोश,বেহুঁশ
वैज्ञानिक,বৈজ্ঞানিক
बैठक,বৈঠক
वैदिक,বৈদিক
वैध,বৈধ
विधर्म,বৈধর্ম্য
वैवाहिक,বৈবাহিক
वैमानिकी,বৈমানিক
वैश्य,বৈশ্য
वैष्णव,বৈষ্ণব
बोझ,বোঝা
बोरा,বোড়া
बोतल,বোতল
बम,বোমা
बंबई,বোম্বাই
बोरो,বোরো
बोर्ड,বোর্ড
बौद्ध,বৌদ্ধ
व्यक्ति,ব্যক্তি
व्यभिचार,ব্যভিচার
व्यय,ব্যয়
व्यस्त,ব্যস্ত
ब्याम,ব্যং
बैंक,ব্যাংক
व्याकरण,ব্যাকরণ
व्याख्या,ব্যাখ্যা
बैग,ব্যাগ
व्यापक,ব্যাপক
व्यायाम,ব্যায়াম
बैरिस्टर,ব্যারিস্টার
बैरोमीटर,ব্যারোমিটার
बेसिली,ব্যাসিলি
बूम्बा,বুম্বা
ब्रज,ব্রজ
व्रत,ব্রত
ब्राह्मण,ব্রহ্ম
ब्राह्मणी,ব্রহ্মাণী
ब्रह्मास्त्र,ব্রহ্মাস্ত্র
ब्रश,ব্রাশ
ब्रह्मा,ব্রাহ্ম
ब्राह्मी,ব্রাহ্মী
ब्रिटिश,ব্রিটিশ
ब्रेक,ব্রেক
ब्रांडी,ব্র্যান্ডি
ब्लाउज,ব্লাউজ
ब्लैकबोर्ड,ব্ল্যাকবোর্ড
भक्ति,ভক্তি
भगवती,ভগবতী
भगवतगीता,ভগবদগীতা
भगवान,ভগবন্
भरा,ভড়
भनभनाना,ভনভন
भाना,ভনা
भवानी,ভবানী
भविष्य,ভবিষ্য
भविष्यवाणी,ভবিষ্যদ্বাণী
भाभी,ভবী
भरें,ভরণ
भरणी,ভরণী
भारद्वाज,ভরদ্বাজ
भरोसा,ভরসা
भालू,ভল্লুক
भाई,ভাই
भागवत,ভাগবত
भाग्य,ভাগ্য
भाजक,ভাজক
भत्ता,ভাতা
भठूरे,ভাতুড়ে
भद्रा,ভাদ্র
भाद्रपद,ভাদ্রপদ
भार,ভার
भारत,ভারত
भारती,ভারতী
भारतीय,ভারতীয়
भारी,ভারী
भलाई,ভালাই
भासी,ভাসি
भाषण,ভাষণ
भाषा,ভাষা
विटामिन,ভিটামিন
भीड़,ভিড়
वेल,ভিল
भीम,ভীমা
भीष्म,ভীষ্ম
भूख,ভুখ
भूगोल,ভূগোল
भूत,ভূত
भूपति,ভূপতি
भोपाल,ভূপাল
भूमिका,ভূমিকা
भूरी,ভূরি
भेड़,ভেড়া
भोजपुरी,ভোজপুরি
वोट,ভোট
भोला,ভোলা
भोलानाथ,ভোলানাথ
भ्रष्ट,ভ্রষ্ট
भ्रूण,ভ্রূণ
मौरा,মউড়
मकान,মকান
मक्का,মক্কা
मकतब,মক্তব
मख़मली,মখমল
मग,মগ
माघ,মঘা
मंगोल,মঙ্গোল
मजलिस,মজলিশ
मज़ा,মজা
मज्जा,মজ্জা
मंच,মঞ্চ
मंज़िल,মঞ্জিল
मंजिरा,মঞ্জীর
मंजू,মঞ্জু
मटका,মটকা
मटकी,মটকি
मटन,মটন
मटर,মটর
मठ,মঠ
मणिपुरी,মণিপুরি
मंडप,মন্ডপ
मदन,মদন
मध्य,মধ্যা
मध्यउंगली,মধ্যাঙ্গুলি
मनसा,মনসা
मनीषा,মনীষা
मनु,মনু
मनुसंघिता,মনুসংহিতা
मनोज,মনোজ
मनोविज्ञान,মনোবিজ্ঞান
मनोरंजन,মনোরঞ্জন
मंदा,মন্ডা
मंत्री,মন্ত্রী
मंदाकिनी,মন্দাকিনী
मम्मी,মমি
मराल,মরাল
मारुत,মরুত্
मलाना,মলন
मलायी,মলয়
मल्लिका,মল্লিকা
मशाल,মশাল
मस्जिद,মসজিদ
मसूरी,মসূরী
मस्तान,মস্তান
मस्तिष्क,মস্তিষ্ক
माननीय,মহনীয়
मुहर्रम,মহরম
महर्षि,মহর্ষি
महान,মহান
महाभारत,মহাভারত
महिषासुर,মহিষাসুর
महिंद्रा,মহীন্দ্র
महुआ,মহুয়া
महेश,মহেশ
महेश्वर,মহেশ্বর
माइक,মাইক
माइक्रोफ़ोन,মাইক্রোফোন
मील,মাইল
माउ,মাউই
माओवाद,মাওবাদ
मांस,মাংস
मगध,মাগধ
मैगी,মাগ্গি
मंगल्या,মাঙ্গল্য
मक्खी,মাছি
माजूफल,মাজুফল
माणिक्य,মাণিক্য
मत्स्य,মাত্স্য
मथुरा,মাথুরা
मदरसा,মাদ্রাসা
माधव,মাধব
मधुकारी,মাধুকরী
मध्यम,মাধ্যম
माध्यमिक,মাধ্যমিক
मानसिक,মানসিক
मानसी,মানসী
मानहानि,মানহানি
मणि,মানী
मापा,মাপা
मराठी,মারাঠি
मैरी,মারী
मार्क्सवाद,মার্কসবাদ
मार्क्सवादी,মার্কসবাদী
मार्क,মার্কা
मार्च,মার্চ
मालती,মালতী
मलकर,মালাকার
मालाबारी,মালাবারি
मालिक,মালিক
मलीकी,মালিকি
मालिनी,মালিনী
मालिश,মালিশ
माला,মাল্য
मासा,মাষা
माह,মাস
मासिक,মাসিক
मस्तूल,মাস্তুল
म्युनिसिपल,মিউনিসিপ্যাল
मेटा,মেটা
मीटर,মিটার
मीरा,মিড়
मिताक्षरा,মিতাক্ষরা
मित्र,মিত্র
मित्रा,মিত্রা
मीनार,মিনার
मिनट,মিনিট
मिया,মিয়া
मिशन,মিশন
मिश्रण,মিশ্রণ
मिश्रित,মিশ্রিত
मिहिर,মিহির
मीन,মীন
मुकुंद,মুকুন্দ
मुक्त,মুক্ত
मुख्य,মুখ্য
मोड़ो,মুড়োনো
म्युटा,মুত
मुडा,মুদা
मुद्रक,মুদ্রক
मुद्रण,মুদ্রণ
मुद्रा,মুদ্রা
मुद्रित,মুদ্রিত
मूनी,মুনি
मुनिया,মুনিয়া
मुर्गी,মুরগি
मुरली,মুরলী
मुरारी,মুরারি
मुल्तान,মুলতান
मूली,মুলো
मूसल,মুষল
मुसलमान,মুসলমান
मूसा,মুসা
मूसाबादा,মুসাবিদা
मूत्र,মূত্র
मूर्ति,মূর্তি
मूलाधार,মূলাধার
मृग,মৃগ
मृणाल,মৃণাল
मृत,মৃত
मृदुल,মৃদুল
मेरा,মেড়া
मेरो,মেড়ো
मेहतर,মেথর
मेथी,মেথি
मेदिनी,মেদিনী
मेम,মেম
मरम्मत,মেরামত
मेल,মেল
मेलानी,মেলানি
मशीन,মেশিন
मेह,মেহ
मेंहदी,মেহেদি
मैत्रा,মৈত্র
मैनाक,মৈনাক
मोक्ष,মোক্ষ
मुगल,মোগল
मोका,মোচ
मोज़े,মোজা
मोटर,মোটর
मोती,মোতি
मोना,মোনা
मोम,মোম
मोया,মোয়া
मुलायम,মোলায়েম
मुल्ला,মোল্লা
मऊ,মৌ
मौखिक,মৌখিক
मौजा,মৌজ
मौन,মৌন
मौर्य,মৌর্য
मौलवी,মৌলবি
मौलाना,মৌলানা
मौली,মৌলি
मजिस्ट्रेट,ম্যাজিস্ট্রেট
मैजेंटा,ম্যাজেন্টা
मैनेजर,ম্যানেজার
मलेरिया,ম্যালেরিয়া
यक्ष्मा,যক্ষা
यज्ञ,যজ্ঞ
यति,যতি
यात्रा,যত্র
यद्यपि,যদ্যপি
यंत्रणा,যন্ত্রণা
यमनी,যমানী
यादव,যাদব
यांत्रिक,যান্ত্রিক
यीशु,যিশু
युग,যুগ
युद्ध,যুদ্ধ
युधिष्ठिर,যুধিষ্ঠির
युवराज,যুবরাজ
युयुत्सु,যুযুত্সু
ययाति,যযাতি
योग अभ्यास,যোগাভ্যাস
योगिनी,যোগিনী
योगी,যোগী
योद्धा,যোদ্ধা
योनी,যোনি
यौगिक,যৌগিক
यौन,যৌন
